id,match_id,team_id,scored,conceded,tries,cons,pens,drops
291,294985,4,21,29,1,1,3,0
292,294985,6,29,21,4,3,1,0
293,294638,2,44,38,6,3,2,0
294,294638,15,38,44,5,2,1,0
295,296607,20,19,10,1,1,3,0
296,296607,14,10,19,1,1,1,0
297,297048,94,7,59,,,,
298,297048,22,59,7,,,,
299,297050,72,44,8,,,,
300,297050,88,8,44,,,,
301,297037,84,29,8,,,,
302,297037,31,8,29,,,,
303,297045,86,29,15,,,,
304,297045,134,15,29,,,,
305,297040,88,20,52,,,,
306,297040,108,52,20,,,,
307,297032,89,6,12,,,,
308,297032,87,12,6,,,,
309,297033,80,22,27,,,,
310,297033,72,27,22,,,,
311,297044,108,56,8,,,,
312,297044,83,8,56,,,,
313,296951,97,53,15,,,,
314,297034,85,27,25,,,,
315,297034,47,25,27,,,,
316,296951,104,15,53,,,,
317,297038,68,12,24,,,,
318,297036,87,19,33,,,,
319,297036,90,33,19,,,,
320,297038,30,24,12,,,,
321,297035,91,19,14,,,,
322,297035,13,14,19,,,,
323,297042,47,21,30,,,,
324,297042,86,30,21,,,,
325,297041,83,32,17,,,,
326,297041,72,17,32,,,,
327,297031,264121,67,3,,,,
328,294432,23,30,63,3,3,3,0
329,297029,264121,60,5,,,,
330,297027,30,3,18,,,,
331,297027,61,18,3,,,,
332,297031,264123,3,67,,,,
333,294432,6,63,30,9,9,0,0
334,297029,103,5,60,,,,
335,297026,31,12,10,,,,
336,297026,89,10,12,,,,
337,298314,124783,3,49,,,,
338,297043,90,22,12,,,,
339,297043,84,12,22,,,,
340,298314,38,49,3,,,,
341,296950,40,21,33,,,,
342,296950,104,33,21,,,,
343,294312,6,23,18,3,1,2,0
344,294312,8,18,23,2,1,2,0
345,296949,40,3,50,,,,
346,296949,97,50,3,,,,
347,295079,5,24,25,3,3,1,0
348,295079,8,25,24,3,2,2,0
349,295080,10,20,37,2,2,2,0
350,297028,74,15,8,,,,
351,297028,68,8,15,,,,
352,295080,6,37,20,5,2,2,0
353,301655,29,33,38,3,2,2,0
354,295077,5,27,27,3,2,2,0
355,295078,10,10,36,1,1,1,0
356,301655,214,38,33,6,3,0,0
357,295077,6,27,27,3,2,2,0
358,295078,8,36,10,5,2,1,0
359,268593,8,57,0,8,7,1,0
360,268593,5,0,57,0,0,0,0
361,294310,6,23,23,2,2,3,0
362,294311,6,45,20,6,6,1,0
363,298213,123,8,8,,,,
364,268591,8,39,22,6,3,1,0
365,294310,5,23,23,2,2,3,0
366,294311,10,20,45,2,2,2,0
367,298213,177675,8,8,,,,
368,268591,10,22,39,1,1,4,1
369,298209,123,91,5,,,,
370,298211,123,58,7,,,,
371,298209,124,5,91,,,,
372,296299,35,34,43,,,,
373,298211,281617,7,58,,,,
374,297047,26,13,16,1,1,2,0
375,296299,26,43,34,,,,
376,295075,5,37,15,4,2,2,0
377,297047,57,16,13,1,1,2,0
378,295075,10,15,37,2,1,1,0
379,294636,39,38,12,,,,
380,294636,42,12,38,,,,
381,294637,64,26,18,,,,
382,294637,67,18,26,,,,
383,268589,8,35,29,5,5,0,0
384,268589,6,29,35,5,2,0,0
385,294635,82,45,7,7,4,0,0
386,294635,35,7,45,1,1,0,0
387,294632,39,24,48,,,,
388,294632,82,48,24,,,,
389,294633,42,22,41,,,,
390,294633,35,41,22,,,,
391,294830,15,16,38,1,1,2,0
392,294628,82,95,0,,,,
393,294628,67,0,95,,,,
394,294830,14,38,16,4,2,1,0
395,294729,14,27,22,2,1,5,0
396,294729,2,22,27,3,2,1,0
397,294825,11,17,21,2,2,1,0
398,294825,81,21,17,2,0,2,0
399,295128,33,25,21,3,2,2,0
400,295128,27,21,25,2,1,2,0
401,294721,5,37,14,4,2,2,0
402,294721,9,14,37,2,2,0,0
403,294306,6,37,14,5,3,2,0
404,294306,14,14,37,2,2,0,0
405,294981,107,5,42,,,,
406,294981,92,42,5,,,,
407,294977,78,36,29,,,,
408,294977,173646,29,36,,,,
409,295126,35,29,30,4,2,1,0
410,295126,7,30,29,4,2,1,1
411,295031,29,27,11,3,2,2,0
412,295031,28,11,27,1,0,2,0
413,295030,33,57,6,,,,
414,295030,53,6,57,,,,
415,295028,28,66,7,,,,
416,295028,53,7,66,,,,
417,295119,21,29,18,4,2,1,0
418,295119,27,18,29,2,1,2,0
419,294610,36,40,8,,,,
420,294610,136,8,40,,,,
421,294615,23,29,17,5,2,0,0
422,294615,26,17,29,2,2,1,0
423,294966,62,69,3,,,,
424,294966,132,3,69,,,,
425,293923,13,12,22,,,,
426,293923,56,22,12,,,,
427,293928,85,13,0,,,,
428,293928,86,0,13,,,,
429,294614,23,80,10,11,4,0,0
430,294614,49,10,80,2,0,0,0
431,293927,89,42,7,,,,
432,293927,68,7,42,,,,
433,293929,88,21,10,,,,
434,293929,47,10,21,,,,
435,293925,108,39,17,,,,
436,293925,72,17,39,,,,
437,293924,90,24,12,,,,
438,293924,61,12,24,,,,
439,294965,107,31,7,,,,
440,294965,173647,7,31,,,,
441,293920,72,57,10,,,,
442,293920,80,10,57,,,,
443,293918,84,7,31,,,,
444,293918,27,31,7,,,,
445,293921,86,15,22,,,,
