id,match_id,team_id,pens_attempt,pens_conceded,drops_attempt,kicks,passes,runs,meters,breaks,def_beaten,offloads,rucks_init,rucks_won,mall_init,mall_won,turnovers,tackles_made,tackles_missed,scrums_won_on_feed,scrums_lost_on_feed,lineouts_won_on_throw,lineouts_lost_on_throw,yellow_cards,red_cards
1213,93465,5,1,10,1,38,115,88,229,2,6,6,77,70,4,4,8,145,10,5,0,9,2,0,0
1214,93467,25,2,12,0,25,80,72,289,2,16,9,55,50,5,5,13,102,10,7,2,8,1,0,0
1215,93465,4,5,5,2,33,151,130,356,3,9,6,115,109,2,1,14,88,6,7,1,15,2,0,0
1216,93467,16,4,11,0,18,112,99,315,3,10,8,86,81,3,3,14,72,16,9,0,10,1,0,0
1217,93462,10,9,15,1,26,71,73,243,3,18,4,69,67,5,5,6,71,5,3,0,8,0,0,0
1218,93471,10,3,9,0,19,165,141,731,10,28,8,107,101,7,7,16,53,5,6,0,13,0,0,0
1219,93462,1,7,11,0,29,110,66,240,1,5,3,63,61,5,4,5,79,18,3,0,11,1,1,0
1220,93471,12,2,17,0,19,60,61,233,1,5,7,42,40,3,3,9,144,28,6,2,6,2,1,0
1221,93464,3,5,9,0,24,111,93,302,2,8,1,89,85,9,8,15,71,3,5,1,17,0,0,0
1222,93466,82,0,15,0,18,94,78,300,4,8,7,59,55,2,1,16,81,20,6,4,7,10,1,0
1223,93464,11,2,13,0,27,80,50,158,1,3,0,59,56,1,1,6,94,8,5,2,12,3,0,0
1224,93466,15,3,12,0,18,116,103,610,6,20,12,77,74,5,2,20,83,8,10,1,8,1,1,0
1225,93463,6,3,16,0,28,138,109,459,5,12,7,96,88,3,3,15,71,1,5,1,9,1,0,0
1226,93463,20,3,9,0,35,58,66,197,1,1,9,53,49,6,5,18,133,12,6,0,17,3,0,0
1227,93459,12,6,12,1,20,55,81,184,0,4,12,61,57,4,4,11,103,23,7,2,7,1,0,0
1228,93461,9,3,10,0,23,99,92,514,6,12,16,59,54,5,5,15,103,8,13,0,12,1,0,0
1229,93459,2,5,11,0,20,126,101,496,4,23,12,80,75,1,1,11,76,4,6,1,11,1,0,0
1230,93461,23,4,12,0,23,137,104,430,4,8,6,93,90,1,1,14,80,12,6,1,7,0,0,0
1231,93460,14,3,6,0,29,87,76,387,1,8,12,59,56,1,1,12,78,9,11,0,8,3,0,0
1232,93460,82,3,9,3,24,121,96,473,3,9,12,62,59,0,0,24,69,8,11,0,9,1,0,0
1233,113666,6,4,8,0,18,140,101,516,8,18,9,80,75,0,0,17,85,16,6,3,5,2,0,0
1234,113666,8,4,14,0,11,127,88,451,10,16,9,66,60,2,1,16,95,17,6,2,8,3,0,0
1235,301327,5,1,,0,22,145,104,291,10,15,5,77,76,6,5,14,112,26,11,0,15,2,1,0
1236,301327,6,1,,0,14,159,118,296,13,26,9,77,74,2,1,19,112,15,3,0,11,1,1,0
1237,298216,6,1,9,0,12,167,151,490,8,41,7,113,105,10,10,14,79,24,3,0,19,2,0,0
1238,298216,14,3,12,0,19,91,66,341,7,24,3,50,48,1,1,12,170,41,4,0,11,0,1,0
1239,99928,6,5,0,0,19,104,76,394,5,13,5,67,61,1,1,15,59,7,12,1,9,5,0,0
1240,99928,8,6,0,0,22,95,68,261,7,7,11,47,43,1,1,14,89,13,9,0,7,1,1,0
1241,298217,10,5,,0,25,113,113,308,7,12,8,85,84,7,7,14,105,25,6,1,13,0,0,0
1242,298217,9,3,,1,23,110,120,435,15,25,13,71,68,4,3,16,123,12,2,1,4,2,0,0
1243,301256,8,5,8,0,21,227,154,401,16,28,11,114,112,2,2,19,106,11,4,0,10,2,0,0
1244,301256,5,4,11,0,30,114,100,237,4,11,8,78,75,1,1,13,153,28,7,1,7,2,0,0
1245,298218,8,4,,0,30,143,110,367,12,35,8,77,77,3,3,13,126,28,8,0,7,2,0,0
1246,298218,5,2,,1,24,119,104,370,7,28,2,91,87,5,5,18,108,35,5,1,9,0,0,0
1247,301736,6,4,,0,23,151,126,445,13,26,8,84,79,3,2,24,133,34,11,0,6,1,0,0
1248,301736,10,1,,0,19,192,151,516,10,34,20,81,77,4,4,30,123,26,7,2,14,2,0,0
1249,25727,6,1,12,0,31,56,63,278,2,7,5,46,42,0,0,13,107,7,7,2,8,2,0,0
1250,25727,8,4,6,0,36,48,85,298,4,6,7,68,65,0,0,12,69,10,10,0,14,3,0,0
1251,298220,3,2,,0,39,95,122,393,13,17,2,99,96,8,6,12,135,8,10,0,12,0,1,0
1252,298220,2,1,,0,27,180,120,301,3,8,5,99,94,6,6,16,163,17,1,1,14,1,0,0
1253,299232,9,1,,0,26,172,173,639,15,33,19,123,118,5,5,17,143,17,6,1,9,2,0,0
1254,298227,10,1,,0,26,146,109,373,7,7,2,79,76,5,5,18,102,28,7,0,15,0,0,0
1255,299232,2,1,,0,26,150,123,374,8,17,6,100,97,6,6,17,179,33,3,2,11,1,1,0
1256,298227,16,0,,0,21,102,95,217,9,28,8,66,62,7,7,12,129,7,8,1,14,2,0,0
1257,298221,1,3,10,0,27,147,113,654,16,28,8,73,70,7,6,17,128,19,4,0,14,0,0,0
1258,298221,16,2,9,0,31,106,102,199,1,19,6,82,78,7,4,15,121,28,9,0,14,1,0,0
1259,300723,3,0,,0,25,177,144,431,11,21,6,115,112,4,3,12,133,14,7,0,9,1,0,0
1260,300723,20,0,,0,28,164,121,232,6,14,7,95,92,5,5,10,167,21,4,0,12,3,0,0
1261,301335,10,2,,0,13,147,131,294,11,24,9,107,101,7,7,11,111,25,4,2,14,1,0,0
1262,301257,8,2,9,1,31,130,123,524,14,26,8,81,78,3,3,13,131,19,8,0,9,2,1,0
1263,301335,5,5,,0,24,113,113,382,18,25,9,81,80,7,6,10,156,24,5,0,12,0,1,0
1264,300724,1,3,,1,24,128,120,500,14,31,10,77,76,7,6,12,142,25,9,0,6,1,0,0
1265,301257,6,2,10,0,15,136,118,476,11,19,11,82,74,4,4,24,118,26,5,1,16,2,0,0
1266,298222,81,0,7,0,26,91,88,253,5,15,8,63,62,4,3,18,121,26,5,0,12,3,1,0
1267,300724,4,0,,0,19,158,136,522,12,25,10,93,90,4,3,15,139,31,2,0,10,2,0,0
1268,298222,4,1,10,0,28,147,114,483,15,26,6,75,69,5,5,13,88,15,6,1,13,0,0,0
1269,298231,6,2,,0,20,156,161,569,12,31,11,123,122,4,3,17,92,15,3,1,12,0,0,0
1270,298231,4,4,,3,30,108,94,351,9,15,5,66,64,3,3,9,183,31,5,1,7,2,0,0
1271,301737,6,3,4,0,12,204,196,703,22,38,13,150,146,1,1,14,110,30,3,0,10,1,0,0
1272,298226,1,0,4,0,28,221,157,639,24,53,14,110,105,9,8,23,61,18,8,0,16,1,0,0
1273,301737,8,0,8,0,16,188,123,492,16,30,11,74,72,0,0,14,198,38,6,0,4,0,0,1
1274,298226,11,0,11,0,24,57,56,233,4,18,2,40,37,4,2,18,169,53,9,1,8,2,0,1
1275,298233,9,0,,0,25,152,140,472,14,32,14,99,94,6,4,18,97,13,3,1,10,0,0,0
1276,298233,11,3,,0,24,90,82,177,2,13,3,70,67,6,6,14,148,32,8,2,15,2,0,0
1277,300727,1,1,6,0,29,171,125,458,13,38,13,85,81,4,3,12,122,17,8,0,15,0,1,0
1278,300727,3,1,5,0,19,138,103,255,6,17,2,81,76,3,2,19,116,38,3,0,10,5,0,0
1279,300729,4,2,,0,18,163,141,378,7,12,9,105,103,6,4,16,96,22,9,1,10,1,1,0
1280,300729,3,2,,0,23,124,92,314,7,22,9,74,71,1,1,15,154,12,10,0,6,1,0,0
1281,298235,14,0,8,0,21,155,109,559,19,41,10,57,56,1,0,16,86,16,6,0,13,1,0,0
1282,298235,81,2,13,0,19,72,90,343,10,16,7,51,46,5,3,12,94,41,6,2,10,0,0,0
1283,298236,3,0,6,0,25,181,158,589,16,23,13,112,107,7,6,22,95,11,4,0,14,1,0,0
1284,298236,57,1,10,1,26,101,77,150,2,11,1,54,53,1,0,16,188,23,13,0,8,2,2,0
1285,25512,15,1,12,0,21,91,0,378,4,12,8,53,47,0,0,19,77,17,12,0,8,9,0,0
1286,25512,5,3,5,0,32,143,0,652,9,13,12,53,49,6,6,17,77,11,20,0,8,1,0,0
1287,298237,20,1,,0,24,134,111,257,8,17,15,70,66,5,2,12,129,20,7,0,14,2,0,1
1288,298237,5,2,,0,36,137,127,568,12,20,10,80,79,10,10,14,112,17,6,0,16,0,0,0
1289,300730,1,4,,0,29,202,153,512,12,36,7,110,108,7,6,17,149,20,9,0,7,0,0,0
1290,300730,20,0,,0,19,153,122,228,4,20,6,102,101,3,2,15,182,36,7,0,12,6,0,0
1291,301282,8,0,,0,21,193,141,1089,36,37,15,82,77,3,2,12,116,10,5,0,6,0,0,0
1292,301282,16,0,,0,14,109,100,254,5,10,4,89,84,2,2,15,113,37,4,2,6,2,1,0
1293,298239,10,1,,0,34,115,99,256,5,17,5,75,75,4,3,15,162,28,1,1,12,2,0,1
1294,298239,1,2,,0,32,175,134,433,8,28,8,103,99,7,7,10,108,17,8,1,11,2,0,0
1295,300731,3,0,,0,21,171,138,250,9,15,5,113,112,8,6,7,112,8,13,1,10,2,0,0
1296,300731,4,2,,0,14,131,96,257,7,8,5,71,69,5,3,11,195,15,3,0,8,0,1,0
1297,298242,9,4,,0,26,104,113,564,14,30,14,64,60,5,3,22,134,20,2,0,11,0,0,0
1298,298242,16,0,,0,23,111,114,255,5,20,4,93,89,8,7,11,108,30,11,0,14,2,0,0
1299,298215,23,2,,0,33,183,141,653,16,48,9,98,96,1,1,21,134,21,4,0,13,1,0,0
1300,298215,57,1,,0,39,101,112,289,11,21,4,92,89,1,1,17,144,48,13,0,8,1,0,0
1301,298244,10,0,,0,29,168,138,588,19,48,12,85,82,5,5,13,149,27,3,0,13,1,0,0
1302,298244,11,0,,0,18,170,124,290,6,27,5,99,97,7,7,15,129,48,7,0,15,5,0,0
1303,298245,57,0,,0,22,108,86,229,3,3,4,69,68,2,1,13,131,42,7,0,10,3,0,0
1304,298245,2,0,,0,30,214,157,879,24,42,6,96,96,5,5,17,98,3,7,0,9,1,0,0
1305,298252,16,1,3,0,26,171,155,672,15,43,16,95,89,4,4,21,148,20,8,0,12,1,0,0
1306,298252,11,0,6,0,29,167,124,374,7,20,7,91,88,6,5,16,151,43,6,0,15,2,0,0
