id,player_id,team_id,match_id,time,action_type,extra_info
7743,201987,16,240805,79,cons,
7744,183452,11,240809,41,tries,
7745,171070,9,295109,76,cons,
7746,228947,25,240803,42,pens,
7747,106985,16,240805,7,pens,
7748,245267,9,295110,15,tries,
7749,15747,11,240809,58,tries,
7750,171070,9,295109,80,cons,
7751,106985,16,240805,20,pens,
7752,98249,9,295110,45,tries,
7753,248003,11,240809,42,cons,
7754,106985,16,240805,27,pens,
7755,255963,9,295110,78,tries,
7756,248003,11,240809,58,cons,
7757,294641,9,295110,16,cons,
7758,152825,4,298890,30,tries,
7759,120423,4,295111,1,tries,
7760,294641,9,295110,47,cons,
7761,206907,4,298890,33,tries,
7762,122375,4,295111,2,cons,
7763,92040,15,240803,60,tries,
7764,294641,9,295110,20,pens,
7765,206131,4,298890,74,tries,
7766,122375,4,295111,17,pens,
7767,92116,15,240803,72,tries,
7768,294641,9,295110,62,drops,
7769,122375,4,298890,31,cons,
7770,122375,4,295111,35,pens,
7771,247197,15,240803,61,cons,
7772,122375,4,298890,35,cons,
7773,152291,1,295112,1,tries,
7774,122375,4,295111,40,pens,
7775,247197,15,240803,73,cons,
7776,122375,4,298890,47,pens,
7777,294043,1,295112,8,tries,
7778,122375,4,295111,48,pens,
7779,247197,15,240803,12,pens,
7780,132078,1,295112,12,tries,
7781,122375,4,295111,53,pens,
7782,247197,15,240803,18,pens,
7783,103935,1,295112,28,tries,
7784,122375,4,295111,69,pens,
7785,247197,15,240803,30,pens,
7786,246777,11,240805,3,tries,
7787,105032,1,295112,80,tries,
7788,172341,11,240805,38,tries,
7789,82092,1,295112,2,cons,
7790,195315,11,240805,4,cons,
7791,82092,1,295112,9,cons,
7792,82092,1,295112,14,cons,
7793,294481,3,295111,80,tries,
7794,82092,1,295112,30,cons,
7795,165136,3,295111,80,cons,
7796,105032,1,295112,80,cons,
7797,82092,1,295112,24,pens,
7798,122760,2,295112,34,tries,
7799,285607,2,295112,46,tries,
7800,285607,2,295112,56,tries,
7801,212541,2,295112,49,tries,
7802,158721,2,295112,59,tries,
7803,231739,2,295112,75,tries,
7804,158721,2,295112,35,cons,
7805,158721,2,295112,50,cons,
7806,27669,2,295112,59,cons,
7807,27669,2,295112,76,cons,
7808,15726,14,192975,20,tries,
7809,15726,14,192975,38,tries,
7810,91492,14,192975,35,tries,
7811,121170,14,192975,52,tries,
7812,14074,14,192975,55,tries,
7813,14074,14,192975,78,tries,
7814,144886,14,192975,63,tries,
7815,112898,14,192975,36,cons,
7816,112898,14,192975,53,cons,
7817,112898,14,192975,56,cons,
7818,112898,14,192975,78,cons,
7819,120855,160,192975,4,tries,
7820,207087,160,192975,72,tries,
7821,205515,160,192975,79,tries,
7822,13348,160,192975,6,cons,
7823,15718,160,192975,80,cons,
7824,135384,20,175505,0,tries,
7825,27163,20,175505,2,cons,
7826,27163,20,175505,32,cons,
7827,27163,20,175505,13,pens,
7828,27163,20,175505,39,pens,
7829,27163,20,175505,43,pens,
7830,27163,20,175505,57,pens,
