id,date,match_type,match_id,team_id,scored,conceded,tries,cons,pens,drops,name,pos,pts
87,2008-10-25,1,25724,87,5,21,,,,,Latvia,46,47.378914
89,2008-10-18,1,25723,89,39,12,,,,,Hungary,70,40.776222
30,2008-10-18,1,25723,30,12,39,,,,,Denmark,60,42.674255
31,2008-11-01,1,25730,31,6,9,,,,,Sweden,37,51.436896999999995
108,2008-11-01,1,25730,108,9,6,,,,,Malta,59,43.14152
30,2008-11-01,1,25731,30,19,25,,,,,Denmark,69,41.33955
86,2008-11-01,1,25731,86,25,19,,,,,Slovenia,66,41.918564
87,2008-11-08,1,25741,87,10,29,,,,,Latvia,49,46.859734
22,2008-11-08,1,25741,22,29,10,,,,,Netherlands,43,48.20067
27,2008-11-01,1,84705,27,13,21,1.0,1.0,2.0,0.0,Portugal,23,58.86554
25,2008-11-01,1,84705,25,21,13,2.0,1.0,2.0,0.0,Canada,15,68.805374
20,2008-11-08,1,25737,20,20,30,1.0,0.0,4.0,1.0,Italy,10,75.46206
6,2008-11-08,1,25737,6,30,20,2.0,1.0,6.0,0.0,Australia,3,85.33385
4,2008-11-08,1,25738,4,15,20,0.0,0.0,5.0,0.0,Wales,6,80.11215
5,2008-11-08,1,25738,5,20,15,2.0,2.0,2.0,0.0,South Africa,2,87.75844599999999
1,2008-11-08,1,25736,1,39,13,5.0,4.0,2.0,0.0,England,5,83.17636
121,2008-11-08,1,25736,121,13,39,1.0,1.0,2.0,0.0,Pacific Islanders,-1,-1.0
9,2008-11-08,1,25739,9,12,6,0.0,0.0,3.0,1.0,France,7,79.01665
28,2008-11-08,1,86900,28,3,71,,,,,Chile,24,57.073353000000004
10,2008-11-08,1,25739,10,6,12,0.0,0.0,2.0,0.0,Argentina,4,83.38543
10,2008-11-08,1,86900,10,71,3,,,,,Argentina,4,83.38543
4,2008-11-14,1,25746,4,34,13,5.0,3.0,1.0,0.0,Wales,7,79.57678
25,2008-11-14,1,25746,25,13,34,1.0,1.0,2.0,0.0,Canada,15,69.11139
88,2008-11-22,1,25726,88,18,7,,,,,Bosnia and Herzegovina,-1,-1.0
125,2008-11-22,1,25726,125,7,18,,,,,Azerbaijan,-1,-1.0
3,2008-11-22,1,25759,3,17,3,1.0,0.0,3.0,1.0,Ireland,8,77.25137
10,2008-11-22,1,25759,10,3,17,0.0,0.0,1.0,0.0,Argentina,4,82.83861999999999
61,2008-11-29,1,25770,61,10,18,,,,,Luxembourg,87,36.039654
41,2008-11-29,1,25770,41,18,10,,,,,Bulgaria,94,33.4938
4,2008-11-29,1,25769,4,21,18,2.0,1.0,2.0,1.0,Wales,6,79.55319
4,2008-11-22,1,25760,4,9,29,0.0,0.0,3.0,0.0,Wales,7,79.57678
6,2008-11-29,1,25769,6,18,21,2.0,1.0,1.0,1.0,Australia,3,87.345024
8,2008-11-22,1,25760,8,29,9,2.0,2.0,5.0,0.0,New Zealand,1,92.41951999999999
139,2008-12-06,1,25732,139,24,3,,,,,Cyprus,-1,-1.0
98,2008-12-06,1,25732,98,3,24,,,,,Monaco,87,35.920654
98,2009-01-31,1,25772,98,38,12,,,,,Monaco,87,35.920654
125,2009-01-31,1,25772,125,12,38,,,,,Azerbaijan,-1,-1.0
47,2008-12-06,1,25771,47,32,7,,,,,Serbia and Montenegro,-1,-1.0
80,2008-12-06,1,25771,80,7,32,,,,,Andorra,64,42.117909999999995
7,2009-02-07,1,25773,7,5,38,1.0,0.0,0.0,0.0,Germany,26,56.730656
18,2009-02-07,1,25774,18,10,19,1.0,1.0,1.0,0.0,Spain,21,61.17289399999999
12,2009-02-07,1,25774,12,19,10,2.0,0.0,2.0,0.0,Romania,17,67.17607
81,2009-02-07,1,25773,81,38,5,6.0,3.0,0.0,0.0,Georgia,14,69.42343000000001
9,2008-11-22,1,25762,9,13,18,1.0,1.0,1.0,1.0,France,6,80.15353
6,2008-11-22,1,25762,6,18,13,2.0,1.0,2.0,0.0,Australia,3,86.69964
124783,2009-03-28,1,94157,124783,8,3,,,,,Laos,-1,-1.0
126,2009-03-28,1,94157,126,3,8,,,,,Cambodia,-1,-1.0
30,2009-04-11,1,25811,30,20,18,,,,,Denmark,73,40.097454
68,2009-04-11,1,25811,68,18,20,,,,,Norway,81,36.808304
87,2009-04-18,1,25814,87,19,32,,,,,Latvia,54,45.110874
108,2009-04-18,1,25814,108,32,19,,,,,Malta,53,45.14152
22,2009-04-18,1,25813,22,36,24,,,,,Netherlands,41,49.949528
31,2009-04-18,1,25813,31,24,36,,,,,Sweden,43,49.436896999999995
89,2009-04-18,1,25815,89,25,13,,,,,Hungary,64,42.110928
85,2009-04-18,1,25815,85,13,25,,,,,Austria,91,35.174209999999995
23,2009-04-25,1,91190,23,87,10,13.0,4.0,0.0,0.0,Japan,16,68.03353
95,2009-04-25,1,91190,95,10,87,1.0,1.0,1.0,0.0,Kazakhstan,34,52.246047999999995
41,2009-04-25,1,25820,41,29,10,,,,,Bulgaria,92,35.048386
74,2009-04-25,1,25820,74,10,29,,,,,Finland,95,30.98385
86,2009-04-25,1,25819,86,14,10,,,,,Slovenia,59,43.717724
68,2009-04-25,1,25819,68,10,14,,,,,Norway,84,36.43722
108,2009-04-25,1,25816,108,9,27,,,,,Malta,50,46.438457
22,2009-04-25,1,25816,22,27,9,,,,,Netherlands,40,50.598267
61,2009-04-25,1,25821,61,14,17,,,,,Luxembourg,94,33.52252
133,2009-04-25,1,25821,133,17,14,,,,,Greece,-1,-1.0
83,2009-04-25,1,25817,83,21,13,,,,,Croatia,46,47.891907
87,2009-04-25,1,25817,87,13,21,,,,,Latvia,58,43.81394
85,2009-04-25,1,25818,85,6,27,,,,,Austria,91,35.16788
30,2009-04-25,1,25818,30,27,6,,,,,Denmark,72,40.468536
29,2009-04-25,1,94163,29,85,7,,,,,Uruguay,20,62.775124
53,2009-04-25,1,94163,53,7,85,,,,,Paraguay,33,52.39615
29,2009-04-29,1,94164,29,71,3,,,,,Uruguay,20,62.775124
33,2009-04-29,1,94164,33,3,71,,,,,Brazil,28,54.227528
26,2009-05-02,1,91191,26,6,59,0.0,0.0,2.0,0.0,Hong Kong,31,53.18298299999999
23,2009-05-02,1,91191,23,59,6,9.0,2.0,0.0,0.0,Japan,16,68.03353
95,2009-05-02,1,92434,95,30,27,,,,,Kazakhstan,34,52.246047999999995
49,2009-05-02,1,92434,49,27,30,,,,,Korea,23,58.999080000000006
7,2009-05-02,1,25823,7,0,53,0.0,0.0,0.0,0.0,Germany,26,55.73112
72,2009-05-02,1,25822,72,70,8,,,,,Israel,87,36.030617
74,2009-05-02,1,25822,74,8,70,,,,,Finland,95,30.543531
57,2009-05-02,1,25823,57,53,0,7.0,4.0,2.0,0.0,Russia,17,66.1741
83,2009-05-02,1,25824,83,23,13,,,,,Croatia,46,48.18411
31,2009-05-02,1,25824,31,13,23,,,,,Sweden,44,48.788162
49,2009-05-09,1,92436,49,36,34,,,,,Korea,24,57.623780000000004
26,2009-05-09,1,92436,26,34,36,,,,,Hong Kong,32,53.18298299999999
51,2009-05-09,1,92435,51,19,22,,,,,Singapore,49,46.5303
95,2009-05-09,1,92435,95,22,19,,,,,Kazakhstan,29,53.62135
119,2009-05-09,1,25826,119,19,24,,,,,Armenia,-1,-1.0
90,2009-05-09,1,25826,90,24,19,,,,,Lithuania,42,49.735733
23,2009-05-16,1,91192,23,80,9,10.0,4.0,0.0,0.0,Japan,16,68.03353
49,2009-05-16,1,91192,49,9,80,0.0,0.0,2.0,1.0,Korea,24,57.8797
26,2009-05-16,1,92437,26,64,6,,,,,Hong Kong,32,52.927063000000004
51,2009-05-16,1,92437,51,6,64,,,,,Singapore,49,45.939407
72,2009-05-23,1,96495,72,3,19,,,,,Israel,79,37.70357
90,2009-05-23,1,96495,90,19,3,,,,,Lithuania,42,49.735733
25,2009-05-23,1,91193,25,6,25,0.0,0.0,2.0,0.0,Canada,15,69.11139
3,2009-05-23,1,91193,3,25,6,3.0,2.0,2.0,0.0,Ireland,4,83.298386
25,2009-05-30,1,91195,25,23,32,2.0,2.0,3.0,0.0,Canada,15,69.11139
4,2009-05-30,1,91195,4,32,23,2.0,2.0,6.0,0.0,Wales,7,80.59092
11,2009-05-31,1,91196,11,10,27,1.0,1.0,0.0,1.0,United States of America,19,63.539505000000005
3,2009-05-31,1,91196,3,27,10,4.0,2.0,1.0,0.0,Ireland,4,83.298386
12,2009-06-12,1,95935,12,17,11,2.0,2.0,1.0,0.0,Romania,18,64.243095
29,2009-06-12,1,95935,29,11,17,1.0,0.0,2.0,0.0,Uruguay,20,63.159034999999996
6,2009-06-13,1,84709,6,31,8,5.0,3.0,0.0,0.0,Australia,3,85.865845
20,2009-06-13,1,84709,20,8,31,1.0,0.0,1.0,0.0,Italy,12,71.203255
39,2009-06-13,1,97427,39,17,41,,,,,Uganda,36,51.418696999999995
64,2009-06-13,1,97427,64,41,17,,,,,Tunisia,32,53.35592
10,2009-06-13,1,91199,10,24,22,2.0,1.0,3.0,1.0,Argentina,7,80.43746
1,2009-06-13,1,91199,1,22,24,1.0,1.0,5.0,0.0,England,5,82.10611
1,2009-06-06,1,91198,1,37,15,3.0,2.0,4.0,2.0,England,6,80.96368000000001
10,2009-06-06,1,91198,10,15,37,0.0,0.0,4.0,1.0,Argentina,5,81.579895
45,2009-06-27,1,98082,45,86,12,,,,,Papua New Guinea,52,45.517544
109,2009-06-27,1,98082,109,12,86,,,,,Vanuatu,92,34.774094
5,2009-06-27,1,25833,5,28,25,3.0,2.0,3.0,0.0,South Africa,2,89.45613
6,2009-06-27,1,25832,6,22,6,1.0,1.0,5.0,0.0,Australia,3,85.865845
32,2009-06-27,1,25833,32,25,28,1.0,1.0,5.0,1.0,British and Irish Lions,-1,-1.0
9,2009-06-27,1,25832,9,6,22,0.0,0.0,2.0,0.0,France,5,81.952965
64,2009-06-27,1,101854,64,38,13,,,,,Tunisia,28,55.015335
39,2009-06-27,1,101854,39,13,38,,,,,Uganda,42,49.75928
5,2009-08-08,1,84713,5,29,17,1.0,0.0,7.0,1.0,South Africa,1,90.986565
12,2009-06-16,1,95938,12,16,20,1.0,1.0,3.0,0.0,Romania,18,64.834694
6,2009-08-08,1,84713,6,17,29,2.0,2.0,0.0,1.0,Australia,3,86.06554
183,2009-06-16,1,95938,183,20,16,2.0,2.0,2.0,0.0,France A,-1,-1.0
6,2009-08-22,1,84714,6,18,19,0.0,0.0,6.0,0.0,Australia,3,85.857635
136,2009-07-01,1,94183,136,15,0,,,,,Philippines,-1,-1.0
84914,2009-07-01,1,94183,84914,0,15,,,,,Iran,-1,-1.0
70,2009-09-25,1,103704,70,32,19,,,,,Trinidad and Tobago,-1,-1.0
59,2009-09-25,1,103704,59,19,32,,,,,Bermuda,61,42.261738
8,2009-08-22,1,84714,8,19,18,1.0,1.0,4.0,0.0,New Zealand,2,89.428085
6,2009-06-20,1,84710,6,34,12,5.0,3.0,1.0,0.0,Australia,3,85.865845
11,2009-06-21,1,98398,11,31,13,3.0,2.0,2.0,0.0,United States of America,19,63.539505000000005
20,2009-06-20,1,84710,20,12,34,0.0,0.0,4.0,0.0,Italy,12,71.203255
84,2009-10-10,1,99916,84,13,11,,,,,Ukraine,30,54.89691
21,2009-10-10,1,99916,21,11,13,,,,,Belgium,32,53.674824
81,2009-06-21,1,98398,81,13,31,1.0,1.0,2.0,0.0,Georgia,15,68.66593
39,2009-08-29,1,101412,39,18,13,,,,,Uganda,44,48.8364
35,2009-08-29,1,101412,35,13,18,,,,,Kenya,39,50.546096999999996
84,2009-09-12,1,99913,84,19,12,,,,,Ukraine,31,54.171837
13,2009-09-12,1,99913,13,12,19,,,,,Poland,30,54.42259
8,2009-09-19,1,25838,8,33,6,3.0,3.0,4.0,0.0,New Zealand,2,89.07435
6,2009-09-19,1,25838,6,6,33,0.0,0.0,1.0,1.0,Australia,3,85.70504
73,2009-09-22,1,103771,73,5,47,,,,,Barbados,70,40.962425
59,2009-09-22,1,103771,59,47,5,,,,,Bermuda,61,42.261738
74,2009-10-03,1,99915,74,13,36,,,,,Finland,95,30.316593
41,2009-10-03,1,99915,41,36,13,,,,,Bulgaria,89,35.48871
90,2009-10-10,1,99917,90,40,12,,,,,Lithuania,38,50.785247999999996
80,2009-10-10,1,99917,80,12,40,,,,,Andorra,72,40.372944
86,2009-10-17,1,99922,86,13,15,,,,,Slovenia,66,41.556263
