id,date,match_type,match_id,team_id,scored,conceded,tries,cons,pens,drops,name,pos,pts,opp_name,opp_pos,opp_pts
11,2019-03-08,1,301206,11,30,25,4.0,2.0,2.0,0.0,United States of America,15,71.706184,Canada,21,61.359367000000006
25,2019-03-08,1,301206,25,25,30,3.0,2.0,2.0,0.0,Canada,21,61.359367000000006,United States of America,15,71.706184
84914,2018-04-27,3,299090,84914,17,29,,,,,Iran,-1,-1.0,Lebanon,-1,-1.0
22,2019-03-09,1,300919,22,5,18,,,,,Netherlands,24,58.45077,Portugal,27,57.414383
113561,2018-04-27,3,299090,113561,29,17,,,,,Lebanon,-1,-1.0,Iran,-1,-1.0
27,2019-03-09,1,300919,27,18,5,,,,,Portugal,27,57.414383,Netherlands,24,58.45077
18,2019-03-03,1,300917,18,21,18,3.0,2.0,0.0,0.0,Spain,20,63.234486,Romania,18,64.95011
12,2019-03-03,1,300917,12,18,21,2.0,1.0,2.0,0.0,Romania,18,64.95011,Spain,20,63.234486
33,2019-03-02,1,301205,33,15,10,0.0,0.0,2.0,0.0,Brazil,26,58.09737,Chile,29,54.36398000000001
21,2019-03-02,1,300914,21,6,46,0.0,0.0,2.0,0.0,Belgium,23,58.531548,Georgia,12,73.92572
7,2019-03-02,1,300916,7,18,26,2.0,1.0,2.0,0.0,Germany,28,57.15430500000001,Russia,19,64.43975999999999
28,2019-03-02,1,301205,28,10,15,1.0,1.0,1.0,0.0,Chile,29,54.36398000000001,Brazil,26,58.09737
81,2019-03-02,1,300914,81,46,6,8.0,3.0,0.0,0.0,Georgia,12,73.92572,Belgium,23,58.531548
57,2019-03-02,1,300916,57,26,18,4.0,2.0,0.0,0.0,Russia,19,64.43975999999999,Germany,28,57.15430500000001
56,2019-02-24,1,302028,56,6,6,,,,,Switzerland,31,53.242306000000006,Ivory Coast,-1,-1.0
11,2019-02-23,1,301202,11,33,28,4.0,2.0,2.0,0.0,United States of America,13,73.65862,Brazil,26,58.09737
63,2019-02-24,1,302028,63,6,6,,,,,Ivory Coast,-1,-1.0,Switzerland,31,53.242306000000006
33,2019-02-23,1,301202,33,28,33,3.0,2.0,2.0,0.0,Brazil,26,58.09737,United States of America,13,73.65862
20,2019-02-24,1,295106,20,16,26,2.0,0.0,2.0,0.0,Italy,15,72.74671,Ireland,2,89.91963
